OBJECTID,SITE_NAME,REFERENCE,STATUS,MAJOR_DEV,DEVELOPER,DEV_NAME,APP_NO,WBC_APP_NO_unique,Shape_Length,Shape_Area
84,Hogwood Farm Phase 1,A1_1,Under construction,Arborfield,Legal & General Homes,Finchwood Park,O/2014/2179,181422,1149.145691,70199.48812
85,Arborfield Garrison,A2g,Completed,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,610.788401,22619.00356
86,Phase 3 (Parcels A-G),A2f,Completed,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,582.1647677,20384.3877
87,Parcel E,A2e,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,629.382348,25139.04051
88,Parcel B,A2b,Fully approved (work not started),Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,193190,635.410146,23641.63978
88,Parcel B,A2b,Fully approved (work not started),Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,635.410146,23641.63978
89,Parcel A,A2a,Fully approved (work not started),Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,372.2800107,4383.449339
90,Parcel D,A2d,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,404.214919,9677.889132
91,Parcel C,A2c,Under construction,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,161747,414.2914563,7966.413919
92,Parcel J,A2j,Under construction,Arborfield,Redrow Homes,Arborfield Green,O/2014/2280,170686,724.5619378,34715.93186
92,Parcel J,A2j,Under construction,Arborfield,Redrow Homes,Arborfield Green,O/2014/2280,192609,724.5619378,34715.93186
93,Parcel I,A2i,Under construction,Arborfield,Redrow Homes,Arborfield Green,O/2014/2280,170686,435.5515396,9426.089266
94,Parcel H,A2h,Under construction,Arborfield,Redrow Homes,Arborfield Green,O/2014/2280,170686,757.8338505,28052.18099
95,Sports Hub,SP33,In planning application process,Shinfield Parish,David Wilson Homes & Taylor Wimpey,Hyde End Land Pitches,O/2013/0346,173477,1069.056256,40298.51187
96,Langley Mead SANG extension,SP34,Nature Park (proposed),Shinfield Parish,University of Reading & Barton Willmore,,181631,181631,2289.864046,240508.9867
97,Parcel X,A19,Fully approved (work not started),Arborfield,Bewley Homes,,O/2014/2280,190455,642.2213275,21507.26168
98,Phase 2b,SW2_b,In planning application process,South Wokingham,Consortium,,191068,12345,5476.02233,705802.5554
99,Phase 2a,SW2_a,In planning application process,South Wokingham,Consortium,,190914,12345,1134.409896,64973.2409
100,Phase 2b SANG,SW6,Nature Park (proposed),South Wokingham,Consortium,,191068,12345,2934.456624,204387.7293
101,Potential Sports Hub,SW9,Allocated in Local Plan,South Wokingham,,,,12345,2100.822991,260541.5421
102,St. Anne's SANG,SW8,Nature Park (proposed),South Wokingham,Consortium,,190900,12345,1788.660663,80756.54005
103,Matthewsgreen Farm,NW5_1a,Fully approved (work not started),North Wokingham,Bovis,Phase 1b,O/2014/2242,193058,217.5471535,2453.95343
103,Matthewsgreen Farm,NW5_1a,Fully approved (work not started),North Wokingham,Bovis,Phase 1b,O/2014/2242,191026,217.5471535,2453.95343
104,Matthewsgreen Farm,NW5_5,Fully approved (work not started),North Wokingham,Bovis,Local Centre,O/2014/2242,191024,172.763021,1848.352582
105,Arborfield Garrison,A7,In planning application process,Arborfield,Crest Nicholson,Arborfield Green,O/2014/2280,12345,8910.159916,563130.6248
106,Parcel AA,A10,Fully approved (work not started),Arborfield,Crest Nicholson,,191753,`,362.6490847,7153.887244
107,Shinfield Community Centre,SP13,In planning application process,Shinfield Parish,Shinfield Parish,Shinfield Community Centre,191387,12345,193.122386,2085.220726
108,Toutley Industrial Park,NW13,Fully approved (work not started),North Wokingham,WBC,,193206,12345,1119.230691,43626.85267
109,Shinfield View Care Home,SP9b,In planning application process,Shinfield Parish,Shinfield Lodge Care Limited,,191693,12345,302.7680148,5492.031954
110,Land south-east of Finchampstead Rd,SW3,In planning application process,South Wokingham,Charles Church,,192325,12345,2479.729393,126578.5971
111,SANG,SW4,Nature Park (proposed),South Wokingham,Charles Church,,192325,12345,980.7734762,37453.41452
112,SANG (Parklands),SP22,Nature Park (proposed),Shinfield Parish,Taylor Wimpey,,171737,12345,618.4237963,16832.00708
113,Land south of Church Lane and east of Basingstoke Road,SP31,Fully approved (work not started),Shinfield Parish,Taylor Wimpey,Parklands,171737,171737,635.1723546,12864.72696
114,Land south-east of Finchampstead Rd,SW3,In planning application process,South Wokingham,Charles Church,,192325,12345,906.9353602,41943.04551
115,Land south-east of Finchampstead Rd,SW3,In planning application process,South Wokingham,Charles Church,,192325,12345,25.81965211,6.549689509
